word Frequency
wasser 33387
lässt 33377
erste 33254
versucht 33190
gekommen 33073
geschichte 33070
wenig 33015
holen 32820
bedeutet 32688
nett 32685
