,word,Frequency
378,später,44320
379,glück,44295
380,letzte,44246
381,freunde,43913
382,n,43890
383,all,43808
384,darauf,43236
385,ende,43216
386,dr.,42899
387,bald,42834
388,töten,42735
389,dinge,42560
390,meinst,42522
391,toll,42438
392,eins,42157
393,minuten,42139
394,vielen,42047
395,bereit,41925
396,weit,41558
397,ahnung,41525
398,seiner,41478
399,bisschen,41471
400,tür,41457
401,auto,41372
402,jungs,40783
403,eure,40647
404,augen,40593
405,polizei,40572
406,stehen,40469
407,sterben,40334
408,hätten,40190
409,draußen,40075
410,kenne,39750
411,fast,39542
412,runter,39290
413,vorbei,38763
414,treffen,38758
415,gerne,38739
416,dran,38593
417,wurden,38564
418,arbeiten,38510
419,mom,38250
420,verrückt,38126
421,neue,38119
422,ging,38051
423,hinter,37964
424,sorgen,37844
425,einzige,37724
426,jemanden,37451
427,darum,37424
428,tochter,37375
429,braucht,37187
430,idee,37181
431,schwester,37032
432,drin,36941
433,ruhig,36940
434,sah,36936
435,ganzen,36929
436,spät,36834
437,ziemlich,36820
438,solltest,36770
439,name,36668
440,sogar,36650
441,kurz,36629
442,kerl,36512
443,frauen,36457
444,liegt,36313
445,suchen,36294
446,finde,36286
447,je,36205
448,woher,36061
449,lang,36029
450,job,35995
451,keiner,35951
452,seinem,35907
453,hört,35796
454,verstehen,35693
455,spielen,35600
456,s.,35596
457,überhaupt,35566
458,teufel,35421
459,verstanden,35353
460,verloren,35282
461,große,35255
462,hand,35247
463,grund,35243
464,jahr,35092
465,kommst,34951
466,mama,34883
467,ruhe,34794
468,gewesen,34766
469,tod,34408
470,stunden,34244
471,hoffe,34207
472,denkst,34170
473,oben,34115
474,gestern,34095
475,versuchen,34093
476,art,34062
477,letzten,34029
478,schatz,34026
479,endlich,33924
480,he,33922
481,nimm,33866
482,etwa,33845
483,erzählt,33821
484,läuft,33798
485,schwer,33640
486,anders,33554
487,miss,33536
488,musste,33428
489,fünf,33424
490,wasser,33387
491,lässt,33377
492,erste,33254
493,versucht,33190
494,gekommen,33073
495,geschichte,33070
496,wenig,33015
497,holen,32820
498,bedeutet,32688
499,nett,32685
